[metrics-10k] t=368s inserts=3864 err=0 parts={'otel_metrics_series': 2, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 5} db=252MB free=3.99GB mergeCPU=346.7s
[metrics-10k] t=373s inserts=3917 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 11, 'otel_metrics_number_points': 10} db=262MB free=3.97GB mergeCPU=349.3s
[metrics-10k] t=378s inserts=3969 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 8} db=269MB free=4.12GB mergeCPU=352.9s
[metrics-10k] t=383s inserts=4022 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 10} db=271MB free=4.06GB mergeCPU=357.9s
[metrics-10k] t=388s inserts=4074 err=0 parts={'otel_metrics_series': 1, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 12} db=262MB free=4.01GB mergeCPU=364.7s
[metrics-10k] t=393s inserts=4127 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 11} db=273MB free=4.08GB mergeCPU=368.3s
[metrics-10k] t=398s inserts=4179 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 4, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 8} db=277MB free=4.03GB mergeCPU=371.1s
[metrics-10k] t=403s inserts=4232 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 8, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 8, 'otel_metrics_number_points': 10} db=283MB free=3.97GB mergeCPU=376.7s
[metrics-10k] t=408s inserts=4284 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 14, 'otel_metrics_number_points': 13} db=292MB free=4.13GB mergeCPU=382.1s
[metrics-10k] t=413s inserts=4341 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 11, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 7} db=285MB free=4.06GB mergeCPU=388.8s
