otel_metrics_summary_points	TimeUnix	0.062	64.3
otel_metrics_summary_points	batch_id	0.047	168.9
otel_metrics_summary_points	series_id	0.023	348.9
otel_metrics_summary_points	received_at	0.017	462.7
otel_metrics_summary_points	StartTimeUnix	0.014	279.6
otel_metrics_summary_points	row_ordinal	0.01	385.4
otel_metrics_summary_points	MetricName	0.002	467.4
otel_metrics_summary_points	ServiceName	0.002	412.8
otel_metrics_summary_points	producer_id	0.002	469.5
otel_metrics_summary_points	producer_epoch	0.002	469.4
otel_metrics_summary_points	schema_version	0.001	1572.9
otel_metrics_summary_points	Flags	0	4.4
